,context,duration,end_time,request_no,simulation_name,start_time,status
122,USER,0,2018-06-17 20:05:23.154,123,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.154,START
123,USER,0,2018-06-17 20:05:23.154,124,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.154,START
124,USER,0,2018-06-17 20:05:23.155,125,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.155,START
125,USER,0,2018-06-17 20:05:23.155,126,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.155,START
126,USER,0,2018-06-17 20:05:23.156,127,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.156,START
127,USER,0,2018-06-17 20:05:23.157,128,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.157,START
128,USER,0,2018-06-17 20:05:23.158,129,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.158,START
129,USER,0,2018-06-17 20:05:23.158,130,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.158,START
130,USER,0,2018-06-17 20:05:23.158,131,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.158,START
131,USER,0,2018-06-17 20:05:23.159,132,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.159,START
132,USER,0,2018-06-17 20:05:23.159,133,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.159,START
133,USER,0,2018-06-17 20:05:23.164,134,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.164,START
134,USER,0,2018-06-17 20:05:23.165,135,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.165,START
135,USER,0,2018-06-17 20:05:23.165,136,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.165,START
136,USER,0,2018-06-17 20:05:23.165,137,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.165,START
137,USER,0,2018-06-17 20:05:23.166,138,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.166,START
138,USER,0,2018-06-17 20:05:23.167,139,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.167,START
139,USER,0,2018-06-17 20:05:23.168,140,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.168,START
140,USER,0,2018-06-17 20:05:23.169,141,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.169,START
141,USER,0,2018-06-17 20:05:23.169,142,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.169,START
142,USER,0,2018-06-17 20:05:23.170,143,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.170,START
143,USER,0,2018-06-17 20:05:23.170,144,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.170,START
144,USER,0,2018-06-17 20:05:23.171,145,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.171,START
145,USER,0,2018-06-17 20:05:23.171,146,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.171,START
146,USER,0,2018-06-17 20:05:23.172,147,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.172,START
147,USER,0,2018-06-17 20:05:23.172,148,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.172,START
148,USER,0,2018-06-17 20:05:23.172,149,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.172,START
149,USER,0,2018-06-17 20:05:23.173,150,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.173,START
150,USER,0,2018-06-17 20:05:23.173,151,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.173,START
151,USER,0,2018-06-17 20:05:23.174,152,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.174,START
152,USER,0,2018-06-17 20:05:23.174,153,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.174,START
153,USER,0,2018-06-17 20:05:23.174,154,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.174,START
154,USER,0,2018-06-17 20:05:23.175,155,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.175,START
155,USER,0,2018-06-17 20:05:23.175,156,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.175,START
156,USER,0,2018-06-17 20:05:23.176,157,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.176,START
157,USER,0,2018-06-17 20:05:23.176,158,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.176,START
158,USER,0,2018-06-17 20:05:23.177,159,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.177,START
159,USER,0,2018-06-17 20:05:23.177,160,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.177,START
160,USER,0,2018-06-17 20:05:23.178,161,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.178,START
161,USER,0,2018-06-17 20:05:23.178,162,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.178,START
162,USER,0,2018-06-17 20:05:23.179,163,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.179,START
163,USER,0,2018-06-17 20:05:23.179,164,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.179,START
164,USER,0,2018-06-17 20:05:23.180,165,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.180,START
165,USER,0,2018-06-17 20:05:23.180,166,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.180,START
166,USER,0,2018-06-17 20:05:23.180,167,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.180,START
